transaction_amount,customer_age,account_balance,num_transactions_30d,transaction_hour,distance_from_home_km,merchant_category,is_fraud
69698.8,54,1392141.77,40,12,26.91,utilities,0
10778.06,66,413983.8,6,6,4.52,entertainment,0
9156.7,61,334187.32,44,9,10.87,travel,0
4341.5,63,1596238.52,44,16,11.12,grocery,0
291733.18,67,179162.03,13,23,11.1,travel,0
34724.68,21,2156089.47,10,9,23.75,entertainment,0
65076.31,32,249771.08,13,0,106.83,utilities,1
79932.87,55,161425.22,14,19,24.1,travel,1
30576.85,64,10943.85,15,8,23.53,electronics,1
53455.06,64,207867.73,17,14,8.86,travel,0
13515.9,35,266361.56,9,15,6.32,electronics,0
20273.52,25,298907.0,21,8,712.45,electronics,1
20383.88,35,113794.68,18,20,27.36,grocery,0
298.75,51,439876.05,13,23,712.45,electronics,0
12093.68,34,1523358.85,16,14,10.4,electronics,0
9020.11,70,334595.7,22,8,19.83,travel,0
7898.22,41,355294.65,15,12,0.31,electronics,0
67593.59,24,542080.66,19,3,712.45,grocery,0
89357.09,18,2156089.47,16,18,9.15,grocery,0
68061.21,48,352010.16,9,20,13.51,grocery,1
34086.02,40,594118.86,20,20,27.16,entertainment,0
11539.94,23,418278.95,4,22,2.29,utilities,0
20987.85,56,293845.01,21,11,25.4,grocery,0
174667.53,57,341186.24,12,19,12.38,entertainment,0
7981.57,55,204774.11,21,12,27.88,electronics,0
142218.82,42,377276.97,30,0,0.31,travel,1
19058.95,18,242648.53,15,18,20.26,entertainment,0
1465.08,47,681845.32,22,20,14.62,electronics,0
169226.67,64,255981.93,19,16,1.04,electronics,0
21240.83,55,664467.17,16,12,0.31,electronics,0
4273.15,60,95667.03,33,12,23.16,travel,0
8097.86,41,261272.88,13,21,389.82,entertainment,0
10681.29,60,625771.92,12,13,0.31,utilities,0
36290.27,36,852164.16,17,10,6.72,travel,0
298.75,47,592526.01,18,14,14.2,electronics,0
183836.51,36,110878.22,20,8,0.31,travel,1
7120.77,71,366204.89,19,0,5.98,entertainment,0
46762.83,62,652946.04,4,16,355.34,entertainment,0
23354.48,44,234513.65,12,16,11.26,utilities,0
32657.56,48,314216.44,14,18,19.24,grocery,0
298.75,59,300497.29,22,11,1.51,entertainment,0
3238.16,45,282151.61,16,14,4.14,entertainment,0
64743.98,39,1300197.63,10,21,9.93,utilities,0
10749.72,54,955964.07,20,23,9.19,electronics,0
1023.24,18,145663.02,39,9,12.49,electronics,0
117510.29,68,52859.46,14,10,10.23,utilities,0
8682.96,64,1141304.83,10,18,11.34,entertainment,0
24662.86,27,18753.47,21,10,11.29,travel,0
7062.18,50,249509.05,14,14,531.12,grocery,0
46402.95,36,16705.81,44,17,2.27,electronics,0
8542.84,34,363184.35,12,17,14.88,entertainment,0
44594.33,20,347748.45,22,8,0.31,travel,1
12463.67,61,257207.92,28,0,4.25,travel,0
3597.57,30,241347.92,14,11,608.54,grocery,0
3207.79,50,163089.74,38,8,13.54,travel,0
19737.17,23,336971.27,44,20,508.32,electronics,1
36198.9,18,354540.65,26,18,0.31,utilities,0
20565.55,20,209445.83,12,10,4.57,utilities,0
1684.6,36,354736.29,20,0,18.78,entertainment,0
