transaction_amount,customer_age,account_balance,num_transactions_30d,transaction_hour,distance_from_home_km,merchant_category,is_fraud
8412.37,29,94520.18,9,14,3.62,grocery,0
23150.80,41,310275.44,14,10,5.18,utilities,0
1975.25,22,41863.90,6,19,1.47,entertainment,0
64280.00,52,528914.62,11,12,8.93,electronics,0
5342.61,34,187430.05,18,9,2.24,grocery,0
12890.44,27,156702.83,22,17,4.71,entertainment,0
3417.09,45,88215.37,7,8,0.86,utilities,0
95610.52,38,742108.90,13,15,12.40,travel,0
7268.93,31,132549.71,10,20,6.05,grocery,0
18734.16,58,265980.24,5,11,3.38,utilities,0
2941.85,24,53617.42,12,21,1.92,entertainment,0
41205.67,47,391826.55,8,13,7.64,electronics,0
6873.20,33,114092.86,16,16,2.57,grocery,0
15462.98,29,208341.19,19,18,5.83,grocery,0
924.50,20,27835.64,4,12,0.63,utilities,0
33078.41,55,467210.32,9,10,9.27,travel,0
11546.72,36,175883.07,15,14,4.09,entertainment,0
4689.35,26,96124.58,21,19,1.35,grocery,0
27391.60,49,334657.81,6,9,6.72,electronics,0
8150.27,42,148903.46,11,15,3.14,utilities,0
19827.53,31,286415.90,13,17,5.46,grocery,0
3562.14,23,61208.75,17,20,2.08,entertainment,0
72940.85,61,613574.28,7,11,10.85,travel,0
9314.68,35,167230.51,12,13,3.97,grocery,0
14075.32,44,229861.74,10,16,4.52,utilities,0
5827.91,28,103476.19,20,18,1.78,entertainment,0
38416.50,53,412095.63,8,12,8.31,electronics,0
7692.44,30,139528.07,14,10,2.86,grocery,0
21538.76,46,317842.95,9,14,6.19,utilities,0
1248.09,19,32961.53,5,21,0.94,grocery,0
45870.23,50,489317.68,11,9,9.58,travel,0
10236.57,37,182704.36,16,15,3.71,entertainment,0
6154.88,25,117359.82,18,19,2.43,grocery,0
29763.41,48,358126.09,7,13,7.05,electronics,0
8925.60,32,151487.25,13,11,3.29,utilities,0
16389.74,40,243652.18,10,17,5.02,grocery,0
2673.15,21,48930.67,15,20,1.56,entertainment,0
54217.92,57,537498.03,6,10,11.63,travel,0
12058.36,34,196815.49,12,16,4.34,grocery,0
7431.28,39,128064.92,17,12,2.71,utilities,0
17962.05,43,271539.86,8,14,5.68,grocery,0
4108.53,27,79642.31,19,18,1.23,entertainment,0
86754.19,64,695287.40,9,11,13.72,electronics,0
9587.62,33,163748.55,14,15,3.85,grocery,0
13246.90,45,217093.28,11,13,4.16,utilities,0
242618.75,51,1482960.37,29,2,187.43,electronics,1
6842.17,29,121395.84,16,19,2.35,grocery,0
24597.31,47,329186.72,7,9,6.48,utilities,0
1836.42,22,39074.15,13,21,1.09,entertainment,0
36829.64,54,398251.90,10,12,8.07,travel,0
10974.85,36,178562.43,15,16,3.53,grocery,0
5316.20,26,98237.69,20,18,1.87,utilities,0
28145.73,49,346810.25,8,10,6.91,electronics,0
8463.09,31,144976.58,12,14,3.02,grocery,0
15728.46,41,235604.17,9,17,4.79,entertainment,0
3094.81,24,57318.92,18,20,1.64,grocery,0
62473.58,59,584129.36,7,11,10.28,travel,0
11385.27,35,189947.61,13,15,4.41,utilities,0
7059.94,28,125683.04,16,13,2.19,grocery,0
20816.35,44,302457.89,10,16,5.94,entertainment,0
4752.68,30,91805.23,14,19,1.41,utilities,0
33961.07,52,376542.18,6,9,7.83,electronics,0
9128.53,38,157294.66,11,12,3.47,grocery,0
17435.82,42,258971.03,12,14,5.15,utilities,0
2517.96,20,44186.79,17,21,0.72,entertainment,0
48293.60,56,502368.14,8,10,9.86,travel,0
13674.29,37,204519.87,15,17,4.63,grocery,0
6291.45,32,109863.52,19,18,2.98,grocery,0
25839.71,50,341275.06,9,13,6.34,electronics,0
7846.13,34,136428.90,13,11,2.62,utilities,0
19053.87,46,279316.45,10,15,5.37,grocery,0
3728.50,23,65941.28,16,20,1.15,entertainment,0
57610.24,60,548793.61,7,12,11.09,travel,0
10542.96,39,172086.34,14,16,3.76,utilities,0
14891.63,43,226754.09,11,14,4.88,grocery,0
5473.82,27,101529.47,18,19,2.26,entertainment,0
31287.45,53,364918.72,8,10,7.42,electronics,0
8709.31,30,149362.85,12,13,3.19,grocery,0
22463.58,48,315687.29,9,17,6.03,utilities,0
1592.74,21,35847.60,15,21,0.81,grocery,0
40158.92,55,437269.53,10,11,8.65,travel,0
12736.48,36,198453.17,13,15,4.27,entertainment,0
6958.15,29,123790.86,17,18,2.54,grocery,0
27614.83,51,352841.94,7,9,6.87,electronics,0
9376.20,33,160925.48,14,12,3.61,utilities,0
16247.59,40,241368.75,11,16,4.95,grocery,0
2836.91,25,51674.32,19,20,1.38,entertainment,0
68925.36,62,627481.09,6,10,12.51,travel,0
11829.74,35,193627.50,12,14,4.12,grocery,0
7514.02,31,131058.96,16,17,2.79,utilities,0
18369.45,44,267892.13,9,13,5.51,grocery,0
4271.86,26,83415.79,15,19,1.67,entertainment,0
92483.67,65,738156.24,8,11,14.36,electronics,0
9852.31,34,166580.47,13,15,3.90,grocery,0
13590.78,45,221347.62,10,12,4.45,utilities,0
6027.49,28,112964.85,18,18,2.13,grocery,0
23874.16,47,325609.38,7,10,6.26,utilities,0
1425.63,19,30258.91,14,21,0.58,entertainment,0
35216.90,54,387452.76,9,13,7.94,travel,0
10683.25,37,175819.04,15,16,3.44,grocery,0
5749.38,25,105372.61,20,19,2.01,utilities,0
29418.72,49,339157.85,8,9,7.16,electronics,0
8237.54,32,142605.19,12,14,3.08,grocery,0
15963.87,41,232478.53,11,17,4.82,entertainment,0
3351.20,23,59826.47,17,20,1.52,grocery,0
59834.61,58,561290.74,6,11,10.47,travel,0
11072.98,36,184735.26,13,15,4.19,utilities,0
7385.46,30,127941.68,16,12,2.65,grocery,0
21659.03,45,308524.91,9,16,5.88,entertainment,0
4936.72,29,89163.05,14,18,1.74,utilities,0
32574.89,52,371086.42,7,10,7.59,electronics,0
191352.40,33,824617.95,2,23,412.86,travel,1
17208.65,42,254139.78,12,14,5.24,utilities,0
2764.31,22,47592.86,18,21,0.89,entertainment,0
46381.57,56,495127.30,8,9,9.32,travel,0
13425.09,38,209864.53,15,17,4.56,grocery,0
6518.74,31,115297.40,19,18,2.87,grocery,0
26093.48,50,344762.19,9,13,6.41,electronics,0
7923.65,34,138051.82,13,11,2.70,utilities,0
18746.12,46,273489.56,10,15,5.43,grocery,0
